Bike ID,Gender,Birth Year,Age,Trip Duration,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,Start Time,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Stop Time
33887,Male,2002,22,76,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,2021-01-01 11:34:33.9350,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,2021-01-01 11:35:50.6250
33887,Male,2002,22,1483,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,2021-01-01 11:38:03.1670,3191,Union St,40.7182113,-74.0836394,2021-01-01 12:02:46.9970
44737,Female,1985,39,634,3275,Columbus Drive,40.71835519823214,-74.03891444206238,2021-01-01 11:41:22.3000,3267,Morris Canal,40.7124188237569,-74.03852552175522,2021-01-01 11:51:57.1530
48857,Male,1962,62,740,3185,City Hall,40.7177325,-74.043845,2021-01-01 11:45:34.0090,3184,Paulus Hook,40.7141454,-74.0335519,2021-01-01 11:57:54.9880
47029,Male,1994,30,434,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 11:50:29.9140,3275,Columbus Drive,40.71835519823214,-74.03891444206238,2021-01-01 11:57:44.8410
44401,Female,1969,55,492,3638,Washington St,40.7242941,-74.0354826,2021-01-01 11:53:27.2470,3267,Morris Canal,40.7124188237569,-74.03852552175522,2021-01-01 12:01:39.9300
30303,Unknown,1969,55,1271,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 11:55:44.5650,3205,JC Medical Center,40.71653978099194,-74.0496379137039,2021-01-01 12:16:56.4000
41002,Male,1967,57,319,3195,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 11:58:27.1190,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,2021-01-01 12:03:46.5170
38641,Male,1986,38,522,3203,Hamilton Park,40.727595966,-74.044247311,2021-01-01 11:58:56.7220,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2021-01-01 12:07:39.1840
48857,Male,1962,62,1143,3184,Paulus Hook,40.7141454,-74.0335519,2021-01-01 12:00:01.8210,3638,Washington St,40.7242941,-74.0354826,2021-01-01 12:19:05.7550
41992,Unknown,1969,55,979,3225,Baldwin at Montgomery,40.7236589,-74.0641943,2021-01-01 12:03:45.1290,3639,Harborside,40.7192517,-74.034234,2021-01-01 12:20:05.1130
38139,Male,2002,22,412,3191,Union St,40.7182113,-74.0836394,2021-01-01 12:05:34.8870,3191,Union St,40.7182113,-74.0836394,2021-01-01 12:12:27.4030
42342,Unknown,1969,55,682,3195,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 12:09:33.3900,3281,Leonard Gordon Park,40.74590996631558,-74.0572714805603,2021-01-01 12:20:55.6990
39421,Male,1979,45,809,3225,Baldwin at Montgomery,40.7236589,-74.0641943,2021-01-01 12:11:25.6550,3193,Lincoln Park,40.7246050998869,-74.07840594649315,2021-01-01 12:24:55.2210
45352,Male,1993,31,755,3281,Leonard Gordon Park,40.74590996631558,-74.0572714805603,2021-01-01 12:15:19.4990,3195,Sip Ave,40.73089709786179,-74.06391263008118,2021-01-01 12:27:54.9620
